model,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
RandomBaseline,0.3333333333333333,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.3333333333333333,0.6363636363636364,0.21428571428571427,0.4,0.26666666666666666,7.692307692307693e-2,0.1875,0.2,7.142857142857142e-2,0.3333333333333333,0.13333333333333333,0.14285714285714285,0.26666666666666666,6.25e-2,0.2857142857142857,0.1875,5.8823529411764705e-2,0.2,0.25,0.375,0.17647058823529413,0.5,0.4,0.17647058823529413,0.4375,0.17647058823529413,0.2222222222222222,0.21052631578947367,0.10526315789473684,0.10526315789473684,0.45,0.10526315789473684,0.25,0.16666666666666666,0.25,0.21052631578947367,0.10526315789473684,0.3157894736842105,0.3157894736842105,0.3,0.3,0.13636363636363635,0.3333333333333333,0.2,0.15789473684210525,0.25,0.42857142857142855,0.2608695652173913,4.7619047619047616e-2,0.391304347826087,0.125,0.16666666666666666,0.16,0.30434782608695654,0.16,4.5454545454545456e-2,0.19230769230769232,0.28,0.11538461538461539,0.21428571428571427,0.17857142857142858,0.21428571428571427,0.2413793103448276,0.16666666666666666,0.3225806451612903,6.451612903225806e-2,0.10714285714285714,0.1,0.22580645161290322,0.12121212121212122,0.2222222222222222
HarmonyModel,0.25,9.090909090909091e-2,0.45454545454545453,0.45454545454545453,0.4166666666666667,0.6363636363636364,0.42857142857142855,0.7333333333333333,0.4,0.5384615384615384,0.1875,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.13333333333333333,0.5625,0.6428571428571429,0.5625,0.29411764705882354,0.26666666666666666,0.25,0.1875,0.4117647058823529,0.6428571428571429,0.6,0.5294117647058824,0.6875,0.5882352941176471,0.5,0.21052631578947367,0.3157894736842105,0.47368421052631576,0.9,0.3157894736842105,0.65,0.6111111111111112,0.6875,0.42105263157894735,0.21052631578947367,0.3684210526315789,0.631578947368421,0.55,0.7,0.6363636363636364,0.6190476190476191,0.3,0.5263157894736842,0.7916666666666666,0.42857142857142855,0.2608695652173913,0.47619047619047616,0.21739130434782608,0.6666666666666666,0.375,0.44,0.4782608695652174,0.48,0.22727272727272727,0.3076923076923077,0.32,0.4230769230769231,0.5714285714285714,0.5,0.39285714285714285,0.3103448275862069,0.36666666666666664,0.5806451612903226,0.25806451612903225,0.2857142857142857,0.36666666666666664,0.3870967741935484,0.5151515151515151,0.5
TransposedHarmonyModel,0.16666666666666666,0.5454545454545454,0.6363636363636364,0.5454545454545454,0.3333333333333333,0.7272727272727273,0.7142857142857143,0.4,0.5333333333333333,0.3076923076923077,0.375,0.6666666666666666,0.5,0.7333333333333333,0.4,0.42857142857142855,0.3333333333333333,0.5625,0.7142857142857143,0.25,0.35294117647058826,0.26666666666666666,0.375,0.25,0.29411764705882354,0.7142857142857143,0.6,0.47058823529411764,0.6875,0.5294117647058824,0.5555555555555556,0.47368421052631576,0.3157894736842105,0.3684210526315789,0.95,0.2631578947368421,0.9,0.6111111111111112,0.6875,0.21052631578947367,0.15789473684210525,0.3157894736842105,0.47368421052631576,0.45,0.35,0.5909090909090909,0.6190476190476191,0.55,0.42105263157894735,0.75,0.47619047619047616,0.5217391304347826,0.23809523809523808,0.8695652173913043,0.75,0.4166666666666667,0.32,0.30434782608695654,0.44,0.2727272727272727,0.19230769230769232,0.52,0.2692307692307692,0.6071428571428571,0.42857142857142855,0.32142857142857145,0.5517241379310345,0.13333333333333333,0.4838709677419355,0.25806451612903225,0.42857142857142855,0.16666666666666666,0.3548387096774194,0.5454545454545454,0.3888888888888889
PebbleModel,0.5833333333333334,1.0,0.9090909090909091,1.0,0.9166666666666666,0.5454545454545454,0.5,0.7333333333333333,0.3333333333333333,0.23076923076923078,1.0,0.3333333333333333,0.14285714285714285,0.9333333333333333,0.6,7.142857142857142e-2,0.7333333333333333,0.8125,0.8571428571428571,0.625,0.5882352941176471,0.6,0.9375,0.25,0.9411764705882353,0.6428571428571429,0.8,0.5882352941176471,0.625,0.9411764705882353,0.7777777777777778,0.3684210526315789,0.6842105263157895,0.42105263157894735,0.35,0.47368421052631576,0.4,0.3888888888888889,0.6875,0.5789473684210527,0.3157894736842105,0.631578947368421,0.3157894736842105,0.45,0.45,0.6818181818181818,0.5714285714285714,0.3,0.5263157894736842,0.4166666666666667,0.38095238095238093,1.0,0.6666666666666666,0.34782608695652173,0.5416666666666666,0.8333333333333334,0.76,0.2608695652173913,0.8,0.5,0.4230769230769231,0.24,0.6153846153846154,0.5357142857142857,0.32142857142857145,3.571428571428571e-2,0.6206896551724138,0.43333333333333335,0.8387096774193549,0.7096774193548387,0.25,0.3,0.8387096774193549,0.6060606060606061,0.5277777777777778
HarmonyPebbleModel,0.75,1.0,0.9090909090909091,1.0,0.9166666666666666,0.5454545454545454,0.5714285714285714,0.8,0.26666666666666666,0.15384615384615385,1.0,0.3333333333333333,0.14285714285714285,0.9333333333333333,0.6666666666666666,7.142857142857142e-2,0.7333333333333333,0.8125,0.8571428571428571,0.8125,0.5294117647058824,0.4666666666666667,0.9375,0.75,0.8823529411764706,0.8571428571428571,1.0,0.5882352941176471,1.0,0.7647058823529411,0.7777777777777778,0.42105263157894735,0.5789473684210527,0.42105263157894735,0.45,0.15789473684210525,0.5,0.5,0.875,0.5789473684210527,0.3157894736842105,0.5263157894736842,0.7894736842105263,0.45,0.5,0.7272727272727273,0.7619047619047619,0.4,0.42105263157894735,0.5,0.5714285714285714,1.0,0.42857142857142855,0.43478260869565216,0.5,0.8333333333333334,0.76,0.4782608695652174,0.76,0.5,0.2692307692307692,0.48,0.6153846153846154,0.4642857142857143,0.7142857142857143,0.17857142857142858,0.8275862068965517,0.4666666666666667,0.8709677419354839,0.7096774193548387,0.32142857142857145,0.3,0.5161290322580645,0.696969696969697,0.5277777777777778
TransposedHarmonyPebbleModel,0.75,1.0,0.9090909090909091,1.0,0.9166666666666666,0.5454545454545454,0.5,0.8,0.3333333333333333,0.3076923076923077,1.0,0.3333333333333333,0.14285714285714285,1.0,0.6666666666666666,0.14285714285714285,0.7333333333333333,0.8125,0.8571428571428571,0.8125,0.5294117647058824,0.6,0.6875,0.5625,1.0,0.8571428571428571,0.8,0.6470588235294118,0.6875,0.8235294117647058,0.7777777777777778,0.5789473684210527,0.6842105263157895,0.42105263157894735,0.45,0.42105263157894735,0.5,0.3333333333333333,0.625,0.5789473684210527,0.3684210526315789,0.5263157894736842,0.8421052631578947,0.5,0.65,0.7272727272727273,0.5714285714285714,0.35,0.5263157894736842,0.4166666666666667,0.5238095238095238,1.0,0.42857142857142855,0.6086956521739131,0.5833333333333334,0.8333333333333334,0.76,0.30434782608695654,0.84,0.5,0.5384615384615384,0.48,0.6153846153846154,0.5357142857142857,0.5357142857142857,0.42857142857142855,0.7586206896551724,0.43333333333333335,0.9032258064516129,0.6774193548387096,0.39285714285714285,0.3,0.7741935483870968,0.696969696969697,0.5833333333333334
RhythmModel,0.5833333333333334,1.0,0.9090909090909091,1.0,0.9166666666666666,0.5454545454545454,0.5,0.7333333333333333,0.26666666666666666,0.23076923076923078,1.0,0.3333333333333333,0.14285714285714285,0.9333333333333333,0.6,7.142857142857142e-2,0.7333333333333333,0.8125,0.8571428571428571,0.625,0.5882352941176471,0.6,0.9375,0.25,0.9411764705882353,0.6428571428571429,0.8,0.5882352941176471,0.625,0.9411764705882353,0.7777777777777778,0.3684210526315789,0.6842105263157895,0.2631578947368421,0.35,0.5789473684210527,0.4,0.3888888888888889,0.6875,0.5789473684210527,0.3157894736842105,0.631578947368421,0.3157894736842105,0.45,0.45,0.6818181818181818,0.5238095238095238,0.3,0.5263157894736842,0.4166666666666667,0.38095238095238093,1.0,0.6666666666666666,0.34782608695652173,0.5416666666666666,0.8333333333333334,0.76,0.2608695652173913,0.8,0.5,0.19230769230769232,0.24,0.6153846153846154,0.5357142857142857,0.32142857142857145,3.571428571428571e-2,0.6206896551724138,0.43333333333333335,0.8387096774193549,0.7096774193548387,0.25,0.3,0.8387096774193549,0.6060606060606061,0.5277777777777778
HarmonyRhythmModel,0.75,1.0,0.9090909090909091,1.0,0.9166666666666666,0.5454545454545454,0.5,0.8,0.26666666666666666,0.15384615384615385,1.0,0.3333333333333333,0.14285714285714285,0.9333333333333333,0.8,7.142857142857142e-2,0.7333333333333333,0.8125,0.8571428571428571,0.8125,0.5294117647058824,0.4666666666666667,0.9375,0.6875,0.8823529411764706,0.7857142857142857,1.0,0.47058823529411764,1.0,0.8235294117647058,0.7777777777777778,0.5263157894736842,0.5789473684210527,0.42105263157894735,0.45,0.15789473684210525,0.5,0.6111111111111112,0.8125,0.5789473684210527,0.3684210526315789,0.5263157894736842,0.7894736842105263,0.45,0.55,0.7272727272727273,0.7619047619047619,0.4,0.42105263157894735,0.5,0.6190476190476191,1.0,0.42857142857142855,0.43478260869565216,0.5416666666666666,0.8333333333333334,0.76,0.43478260869565216,0.8,0.5,0.23076923076923078,0.56,0.6153846153846154,0.5357142857142857,0.6785714285714286,0.10714285714285714,0.8275862068965517,0.5,0.8709677419354839,0.7096774193548387,0.32142857142857145,0.3,0.7741935483870968,0.696969696969697,0.5277777777777778
TransposedHarmonyRhythmModel,0.75,1.0,0.9090909090909091,1.0,0.9166666666666666,0.5454545454545454,0.5,0.7333333333333333,0.4666666666666667,0.23076923076923078,1.0,0.3333333333333333,0.14285714285714285,1.0,0.6,0.14285714285714285,0.7333333333333333,0.8125,0.8571428571428571,0.8125,0.5294117647058824,0.6,0.6875,0.5625,1.0,0.7857142857142857,0.8666666666666667,0.5882352941176471,0.9375,0.8235294117647058,0.7777777777777778,0.5789473684210527,0.6842105263157895,0.47368421052631576,0.45,0.42105263157894735,0.5,0.3333333333333333,0.625,0.5789473684210527,0.3684210526315789,0.7894736842105263,0.8421052631578947,0.7,0.65,0.7272727272727273,0.5714285714285714,0.4,0.5263157894736842,0.4166666666666667,0.8095238095238095,1.0,0.42857142857142855,0.6086956521739131,0.5833333333333334,0.8333333333333334,0.76,0.30434782608695654,0.8,0.5,0.5384615384615384,0.24,0.6538461538461539,0.6428571428571429,0.7142857142857143,0.32142857142857145,0.7586206896551724,0.43333333333333335,0.9032258064516129,0.6129032258064516,0.39285714285714285,0.3,0.8064516129032258,0.696969696969697,0.5555555555555556
